name,pid,draftSeason,peakTPE,change
Frøya Solberg,1172,74,2198,
Adam Prpich,225,67,2160,
Justin Time,1038,64,2138,
Jani Mänty,594,73,2136,
M'Baku Olubori,151,65,2135,
Nathaniel Barca,282,68,2134,
Jack St. Clair,222,67,2134,
Erik Bergmark,269,68,2131,
San-sam Emerson,126,63,2126,
Mads McBride,134,64,2125,
Chris Valentine,286,68,2123,
Georg N'Zola,338,69,2121,
Cale Salad,273,68,2119,
Ricky Koivu,167,65,2118,
Zedward Zilliams,544,72,2117,
Lias Ekholm-Gunnarsson,122,63,2117,
Furious Chicken,471,71,2116,
Oskar Scholz,291,69,2116,
Anthony Dionne,1047,66,2115,
Nash Topalo,280,68,2109,
Guy Incognito,606,73,2106,
Kristian Seppanen,623,73,2105,
Viktor Hargreeves,261,68,2105,
Ben Jammin,113,62,2105,
Mikko Rashford,110,62,2105,
Nevek Kove,248,67,2103,
Lord Farquaads,156,65,2103,
Red Kirkby,135,64,2102,
Betzee Nickelback,569,73,2101,
Pass Forfeit,186,65,2098,
Jay O'Neil,116,62,2096,
Jarrod Lakemore,256,68,2095,
Jaromir Jagrbomb,547,72,2093,
Luke Laraque,153,65,2093,
Tibuk Soonika,1070,70,2092,
Benson Fiorentini,207,66,2092,
Sonja Solberg,1171,74,2091,
Xavier Beausoleil,575,73,2090,
Lester Oiduser,285,68,2090,
Antonio Flusso,241,67,2090,
Philippe-Eko Eel,219,66,2090,
Rikkert Biemans,191,66,2090,
Jae-ik Barron,601,73,2089,
Billy Herrington,333,69,2086,
Langston Hardison-Laurent,1185,74,2085,
John Brown,274,68,2085,
Logan Webb,462,71,2084,
Céleste Desjardins,1202,74,2083,
"Rhett ""Shaggy"" Carpet",1071,70,2083,
Shawn Pawn,658,74,2082,
Elena Maximova,392,70,2082,
Tony Soprano,361,70,2082,
Trevor Lahey,496,72,2080,
Hodor,239,67,2079,
Benjamin Surkhi-Ze'ev,162,65,2079,
Sophie Bordeleau,172,65,2076,
Marek Carda,1195,74,2074,
Ace Lightning,386,70,2074,
Ekaterina Valieva,265,68,2074,
Shōyō Hinata,104,62,2073,
Binko Koivu,145,64,2072,
Graj Virrok,209,66,2071,
Jack McCarthy,343,69,2070,
Axel Kirby,234,67,2070,
Brick Wall,1033,62,2069,
Toasty,281,68,2068,
Ho Lee-Smokes,618,73,2067,
Dunkler Sowerwine,600,73,2067,
Squidwardo Tentaclés,1180,74,2065,
Jay Bryzi,451,71,2061,
Evan Winter,130,64,2061,
Teemu Salami,1246,75,2059,↑16
Seamus O'Slapahan,188,65,2059,
Willow Söderberg-Snooks,391,70,2058,
Antoine Beauregard,292,69,2058,
Derek Martin,263,68,2058,
Jussi Mutou,590,73,2057,
Alexandros Mograine,528,72,2057,
Marton Diehm,258,68,2056,
Meta Knight,228,67,2056,
Rebecca Montagne,1034,62,2055,
Sydney Shaw,383,70,2055,
Will Tomlander,643,74,2053,
Juan Tymer,1190,74,2051,
Lily Jin Morrow,573,73,2050,
Isaac Forty-One,242,67,2049,
Shadow Fenix,1173,74,2047,
Prince Marius,613,73,2047,
Florian Söderberg-Motyla,568,73,2042,
Spack Jarrow,102,62,2042,
Edouard Lavoie,1243,75,2041,↑12
Song Ju-gong,1235,75,2041,↑12
Luca Pane,298,69,2039,
Pork Tenderloin,331,69,2037,
Troy McClure IIII,1218,74,2036,
Julian Flörsch,217,66,2036,
Slava-Ukraini Heroyam-Slava,1271,75,2035,↑12
BASE PACK,1043,65,2035,
Emil Egli,215,66,2034,
Mercedes Baylé,418,71,2033,
Dag-Otto Björntjänst,645,74,2032,
Demir Bellona,1289,75,2031,↑10
Westley Kirkpatrick,557,72,2031,
Ivan Lacksamus,120,63,2031,
Eggward Elric,196,66,2030,
Adam Liebold,260,68,2029,
Peter Tingle,293,69,2025,
Reed Kobo,155,65,2025,
Dirty Boots,114,62,2023,
Sad Ketchup,612,73,2022,
Louise St. Martin,150,64,2021,
Mikkel Enevoldsen,1159,74,2018,
Tom Pedersen,193,66,2017,
Literally Wizard,1253,75,2016,NEW
Gnabe Dabson,390,70,2016,
Aksel Fiske,107,62,2015,
Bernard Lodge,1092,72,2014,
Dominik Winters,426,71,2014,
Leonard Wood,1192,74,2002,
Yannick Svoboda,108,62,2002,
Ongo Gablogian,1267,75,2001,NEW
