name,pid,peakTPE,change
Frøya Solberg,1172,2198,
Adam Prpich,225,2160,NEW
Justin Time,1038,2138,NEW
Jani Mänty,594,2136,
M'Baku Olubori,151,2135,NEW
Nathaniel Barca,282,2134,NEW
Jack St. Clair,222,2134,NEW
Erik Bergmark,269,2131,NEW
San-sam Emerson,126,2126,NEW
Mads McBride,134,2125,NEW
Chris Valentine,286,2123,NEW
Georg N'Zola,338,2121,NEW
Cale Salad,273,2119,NEW
Ricky Koivu,167,2118,NEW
Zedward Zilliams,544,2117,
Lias Ekholm-Gunnarsson,122,2117,NEW
Furious Chicken,471,2116,NEW
Oskar Scholz,291,2116,NEW
Anthony Dionne,1047,2115,NEW
Nash Topalo,280,2109,NEW
Guy Incognito,606,2106,
Kristian Seppanen,623,2105,
Viktor Hargreeves,261,2105,NEW
Ben Jammin,113,2105,NEW
Mikko Rashford,110,2105,NEW
Nevek Kove,248,2103,NEW
Lord Farquaads,156,2103,NEW
Red Kirkby,135,2102,NEW
Betzee Nickelback,569,2101,
Pass Forfeit,186,2098,NEW
Jay O'Neil,116,2096,NEW
Jarrod Lakemore,256,2095,NEW
Jaromir Jagrbomb,547,2093,
Luke Laraque,153,2093,NEW
Tibuk Soonika,1070,2092,NEW
Benson Fiorentini,207,2092,NEW
Sonja Solberg,1171,2091,
Xavier Beausoleil,575,2090,
Lester Oiduser,285,2090,NEW
Antonio Flusso,241,2090,NEW
Philippe-Eko Eel,219,2090,NEW
Rikkert Biemans,191,2090,NEW
Jae-ik Barron,601,2089,
Billy Herrington,333,2086,NEW
Langston Hardison-Laurent,1185,2085,
John Brown,274,2085,NEW
Logan Webb,462,2084,NEW
Céleste Desjardins,1202,2083,
"Rhett ""Shaggy"" Carpet",1071,2083,NEW
Shawn Pawn,658,2082,
Elena Maximova,392,2082,NEW
Tony Soprano,361,2082,NEW
Trevor Lahey,496,2080,NEW
Hodor,239,2079,NEW
Benjamin Surkhi-Ze'ev,162,2079,NEW
Sophie Bordeleau,172,2076,NEW
Marek Carda,1195,2074,
Ace Lightning,386,2074,NEW
Ekaterina Valieva,265,2074,NEW
Shōyō Hinata,104,2073,NEW
Binko Koivu,145,2072,NEW
Graj Virrok,209,2071,NEW
Jack McCarthy,343,2070,NEW
Axel Kirby,234,2070,NEW
Brick Wall,1033,2069,
Toasty,281,2068,NEW
Ho Lee-Smokes,618,2067,
Dunkler Sowerwine,600,2067,
Squidwardo Tentaclés,1180,2065,
Jay Bryzi,451,2061,NEW
Evan Winter,130,2061,NEW
Seamus O'Slapahan,188,2059,NEW
Willow Söderberg-Snooks,391,2058,NEW
Antoine Beauregard,292,2058,NEW
Derek Martin,263,2058,NEW
Jussi Mutou,590,2057,
Alexandros Mograine,528,2057,NEW
Marton Diehm,258,2056,NEW
Meta Knight,228,2056,NEW
Rebecca Montagne,1034,2055,NEW
Sydney Shaw,383,2055,NEW
Will Tomlander,643,2053,
Juan Tymer,1190,2051,
Lily Jin Morrow,573,2050,
Isaac Forty-One,242,2049,
Shadow Fenix,1173,2047,
Prince Marius,613,2047,
Florian Söderberg-Motyla,568,2042,
Spack Jarrow,102,2042,NEW
Luca Pane,298,2039,NEW
Pork Tenderloin,331,2037,NEW
Troy McClure IIII,1218,2036,
Julian Flörsch,217,2036,NEW
BASE PACK,1043,2035,NEW
Emil Egli,215,2034,NEW
Mercedes Baylé,418,2033,NEW
Dag-Otto Björntjänst,645,2032,
Westley Kirkpatrick,557,2031,NEW
Ivan Lacksamus,120,2031,NEW
Eggward Elric,196,2030,NEW
Adam Liebold,260,2029,NEW
Peter Tingle,293,2025,NEW
Reed Kobo,155,2025,NEW
Dirty Boots,114,2023,NEW
Sad Ketchup,612,2022,NEW
Louise St. Martin,150,2021,NEW
Mikkel Enevoldsen,1159,2018,
Tom Pedersen,193,2017,NEW
Gnabe Dabson,390,2016,NEW
Aksel Fiske,107,2015,NEW
Bernard Lodge,1092,2014,NEW
Dominik Winters,426,2014,NEW
Leonard Wood,1192,2002,
Yannick Svoboda,108,2002,NEW
